ref,position,strand,diff,height,from,decide,comment
NC_009648.1,47389,+,34,35,tex_lcd_kf_02,,
NC_009648.1,47867,+,12,15,tex_hcd_kf_09,y,
NC_009648.1,49959,+,20,24,tex_hcd_kf_09,y,
NC_009648.1,49959,+,33,39,tex_hcd_kf_10,,
NC_009648.1,49959,+,72,74,tex_lcd_kf_01,,
NC_009648.1,49959,+,107,108,tex_lcd_kf_02,,
NC_009648.1,52290,-,43,52,tex_hcd_kf_09,y,
NC_009648.1,52290,-,36,45,tex_hcd_kf_10,,
NC_009648.1,52290,-,14,21,tex_lcd_kf_01,,
NC_009648.1,52290,-,21,31,tex_lcd_kf_02,,
NC_009648.1,52375,-,124,160,tex_hcd_kf_09,y,
NC_009648.1,52375,-,166,217,tex_hcd_kf_10,,
NC_009648.1,52375,-,34,93,tex_lcd_kf_01,,
NC_009648.1,52375,-,31,84,tex_lcd_kf_02,,
NC_009648.1,52415,-,32,37,tex_hcd_kf_09,n,
NC_009648.1,52415,-,38,48,tex_hcd_kf_10,,
NC_009648.1,52415,-,51,59,tex_lcd_kf_01,,
NC_009648.1,52415,-,41,57,tex_lcd_kf_02,,
NC_009648.1,52928,-,65,66,tex_hcd_kf_09,y,
NC_009648.1,52928,-,63,67,tex_hcd_kf_10,,
NC_009648.1,52928,-,169,171,tex_lcd_kf_01,,
NC_009648.1,52928,-,164,166,tex_lcd_kf_02,,
NC_009648.1,54941,-,15,23,tex_hcd_kf_10,n,
NC_009648.1,54941,-,10,20,tex_lcd_kf_02,,
NC_009648.1,55085,-,20,41,tex_hcd_kf_10,n,
NC_009648.1,55126,-,14,21,tex_hcd_kf_10,m,
NC_009648.1,55137,+,13,13,tex_hcd_kf_09,m,
NC_009648.1,55137,+,11,11,tex_lcd_kf_01,,
NC_009648.1,55137,+,17,17,tex_lcd_kf_02,,
NC_009648.1,55168,-,18,29,tex_lcd_kf_02,n,
NC_009648.1,55223,+,13,14,tex_lcd_kf_02,n,
NC_009648.1,55491,-,10,23,tex_hcd_kf_09,n,
NC_009648.1,57498,-,108,114,tex_hcd_kf_09,y,
NC_009648.1,57498,-,150,154,tex_hcd_kf_10,,
NC_009648.1,57498,-,140,144,tex_lcd_kf_02,,
NC_009648.1,57498,-,129,140,tex_lcd_kf_01,,
NC_009648.1,57582,-,126,142,tex_hcd_kf_09,y,sRNA?
NC_009648.1,57582,-,172,195,tex_hcd_kf_10,,
NC_009648.1,57582,-,341,348,tex_lcd_kf_01,,
NC_009648.1,57582,-,393,400,tex_lcd_kf_02,,
NC_009648.1,57594,-,16,16,tex_hcd_kf_09,n,
NC_009648.1,57594,-,22,23,tex_hcd_kf_10,,
NC_009648.1,57602,+,15,15,tex_lcd_kf_01,n,
NC_009648.1,57658,+,34,53,tex_hcd_kf_09,y,
NC_009648.1,57658,+,45,73,tex_hcd_kf_10,,
NC_009648.1,57658,+,38,54,tex_lcd_kf_01,,
NC_009648.1,57660,+,50,69,tex_lcd_kf_02,,
NC_009648.1,57723,+,47,85,tex_hcd_kf_09,m,
NC_009648.1,57723,+,60,110,tex_hcd_kf_10,,
NC_009648.1,57723,+,40,86,tex_lcd_kf_01,,
NC_009648.1,57723,+,37,96,tex_lcd_kf_02,,
NC_009648.1,59371,-,15,16,tex_hcd_kf_09,m,
NC_009648.1,60776,-,43,46,tex_hcd_kf_09,m,
NC_009648.1,60776,-,32,35,tex_hcd_kf_10,,
NC_009648.1,60894,-,104,107,tex_hcd_kf_09,y,
NC_009648.1,60894,-,167,172,tex_hcd_kf_10,,
NC_009648.1,60894,-,12,15,tex_lcd_kf_01,,
NC_009648.1,60894,-,17,17,tex_lcd_kf_02,,
NC_009648.1,61169,+,944,946,tex_hcd_kf_09,y,
NC_009648.1,61169,+,1033,1035,tex_hcd_kf_10,,
NC_009648.1,61287,+,59,80,tex_hcd_kf_09,n,
NC_009648.1,61287,+,108,136,tex_hcd_kf_10,n,
NC_009648.1,61290,+,25,27,tex_lcd_kf_01,n,
NC_009648.1,61290,+,26,26,tex_lcd_kf_02,n,
NC_009648.1,61577,+,34,59,tex_hcd_kf_09,n,
NC_009648.1,61577,+,52,86,tex_hcd_kf_10,n,
NC_009648.1,61636,+,34,131,tex_hcd_kf_09,n,
NC_009648.1,61636,+,34,161,tex_hcd_kf_10,n,
NC_009648.1,61648,+,25,154,tex_hcd_kf_09,n,
NC_009648.1,61648,+,24,179,tex_hcd_kf_10,n,
NC_009648.1,61753,+,52,79,tex_hcd_kf_09,n,
NC_009648.1,61753,+,71,99,tex_hcd_kf_10,n,
NC_009648.1,61814,+,15,90,tex_hcd_kf_09,n,
NC_009648.1,61814,+,30,140,tex_hcd_kf_10,n,
NC_009648.1,61831,+,37,85,tex_hcd_kf_09,n,
NC_009648.1,61831,+,61,143,tex_hcd_kf_10,n,
NC_009648.1,61963,+,15,43,tex_hcd_kf_09,n,
NC_009648.1,61963,+,18,63,tex_hcd_kf_10,n,
NC_009648.1,62101,+,11,46,tex_hcd_kf_09,n,
NC_009648.1,62215,+,17,63,tex_hcd_kf_10,n,
NC_009648.1,62215,+,16,16,tex_lcd_kf_01,n,
NC_009648.1,62215,+,19,19,tex_lcd_kf_02,n,
NC_009648.1,62275,+,21,78,tex_hcd_kf_10,n,
NC_009648.1,62479,+,13,33,tex_hcd_kf_10,n,
NC_009648.1,62572,+,75,75,tex_lcd_kf_01,y,sRNA?
NC_009648.1,62572,+,68,68,tex_lcd_kf_02,,
NC_009648.1,62665,+,44,100,tex_hcd_kf_09,y,
NC_009648.1,62665,+,59,147,tex_hcd_kf_10,,
NC_009648.1,62665,+,95,108,tex_lcd_kf_01,,
NC_009648.1,62665,+,106,112,tex_lcd_kf_02,,
NC_009648.1,63150,+,23,31,tex_hcd_kf_09,n,
NC_009648.1,63150,+,35,50,tex_hcd_kf_10,,
NC_009648.1,63203,+,18,72,tex_hcd_kf_09,n,
NC_009648.1,63203,+,31,107,tex_hcd_kf_10,,
NC_009648.1,63303,+,21,77,tex_hcd_kf_10,n,
NC_009648.1,66460,+,14,14,tex_lcd_kf_01,m,
NC_009648.1,66460,+,11,11,tex_lcd_kf_02,,
NC_009648.1,67026,-,18,19,tex_hcd_kf_10,y,
NC_009648.1,67026,-,526,526,tex_lcd_kf_01,,
NC_009648.1,67026,-,507,507,tex_lcd_kf_02,,
NC_009648.1,67139,-,19,19,tex_hcd_kf_09,m,
NC_009648.1,67139,-,16,18,tex_hcd_kf_10,,
NC_009648.1,67139,-,13,13,tex_lcd_kf_01,,
NC_009648.1,67139,-,10,11,tex_lcd_kf_02,,
NC_009648.1,69499,-,88,88,tex_hcd_kf_10,,
NC_009648.1,69500,-,65,65,tex_hcd_kf_09,y,
NC_009648.1,69500,-,85,85,tex_lcd_kf_01,,
NC_009648.1,69500,-,89,89,tex_lcd_kf_02,,
NC_009648.1,73220,-,15,15,tex_hcd_kf_09,m,
NC_009648.1,73220,-,15,15,tex_hcd_kf_10,,
NC_009648.1,73220,-,19,19,tex_lcd_kf_01,,
NC_009648.1,73220,-,16,16,tex_lcd_kf_02,,
NC_009648.1,73878,+,74,74,tex_hcd_kf_09,y,sRNA?
NC_009648.1,73878,+,130,130,tex_hcd_kf_10,,
NC_009648.1,73878,+,22,27,tex_lcd_kf_01,,
NC_009648.1,73878,+,39,41,tex_lcd_kf_02,,
NC_009648.1,74000,+,22,23,tex_hcd_kf_09,y,
NC_009648.1,74000,+,21,22,tex_hcd_kf_10,,
NC_009648.1,74948,+,16,18,tex_hcd_kf_10,n,
NC_009648.1,74995,+,33,41,tex_lcd_kf_01,y,
NC_009648.1,74995,+,21,28,tex_lcd_kf_02,,
NC_009648.1,77059,-,12,12,tex_lcd_kf_02,n,
NC_009648.1,78942,-,12,14,tex_hcd_kf_10,n,
NC_009648.1,79276,-,983,983,tex_hcd_kf_09,y,
NC_009648.1,79276,-,1288,1290,tex_hcd_kf_10,,
NC_009648.1,79276,-,2096,2096,tex_lcd_kf_01,,
NC_009648.1,79276,-,2388,2392,tex_lcd_kf_02,,
NC_009648.1,81008,-,17,18,tex_hcd_kf_10,y,not annotated 
NC_009648.1,81008,-,25,26,tex_lcd_kf_01,,
NC_009648.1,81008,-,14,14,tex_lcd_kf_02,,
NC_009648.1,81039,+,69,69,tex_hcd_kf_09,y,
NC_009648.1,81039,+,83,83,tex_hcd_kf_10,,
NC_009648.1,81039,+,140,140,tex_lcd_kf_01,,
NC_009648.1,81039,+,198,198,tex_lcd_kf_02,,
NC_009648.1,81244,+,37,38,tex_hcd_kf_09,y,
NC_009648.1,81244,+,58,59,tex_hcd_kf_10,,
NC_009648.1,81244,+,38,41,tex_lcd_kf_01,,
NC_009648.1,81244,+,41,42,tex_lcd_kf_02,,
NC_009648.1,81257,+,198,236,tex_hcd_kf_09,n,
NC_009648.1,81257,+,422,481,tex_hcd_kf_10,,
NC_009648.1,81257,+,247,288,tex_lcd_kf_01,,
NC_009648.1,81257,+,247,289,tex_lcd_kf_02,,
NC_009648.1,82982,+,17,17,tex_lcd_kf_01,n,
NC_009648.1,83397,-,16,16,tex_lcd_kf_02,n,
NC_009648.1,91971,+,12,12,tex_hcd_kf_09,m,
NC_009648.1,91971,+,14,14,tex_lcd_kf_02,,
NC_009648.1,94614,+,13,13,tex_lcd_kf_01,n,
NC_009648.1,95194,+,26,27,tex_hcd_kf_09,y,sRNA
NC_009648.1,95194,+,14,14,tex_hcd_kf_10,,
NC_009648.1,95194,+,16,16,tex_lcd_kf_01,,
NC_009648.1,95194,+,25,25,tex_lcd_kf_02,,
NC_009648.1,95379,-,41,41,tex_hcd_kf_09,y,
NC_009648.1,95379,-,24,24,tex_hcd_kf_10,,
NC_009648.1,95379,-,19,19,tex_lcd_kf_01,,
NC_009648.1,95379,-,14,14,tex_lcd_kf_02,,
NC_009648.1,97225,+,10,10,tex_hcd_kf_10,y,
NC_009648.1,98793,+,21,24,tex_hcd_kf_09,y,
NC_009648.1,98793,+,25,25,tex_hcd_kf_10,,
NC_009648.1,98793,+,20,22,tex_lcd_kf_01,,
NC_009648.1,99148,+,62,62,tex_hcd_kf_09,y,
NC_009648.1,99148,+,101,104,tex_hcd_kf_10,,
NC_009648.1,99148,+,36,37,tex_lcd_kf_01,,
NC_009648.1,99148,+,30,30,tex_lcd_kf_02,,
NC_009648.1,99576,+,10,10,tex_hcd_kf_10,m,
NC_009648.1,99576,+,11,14,tex_lcd_kf_02,,
NC_009648.1,99679,+,27,47,tex_hcd_kf_09,y,
NC_009648.1,99679,+,22,42,tex_hcd_kf_10,,
NC_009648.1,99679,+,22,38,tex_lcd_kf_01,,
NC_009648.1,99679,+,18,30,tex_lcd_kf_02,,
NC_009648.1,99694,+,21,68,tex_hcd_kf_09,n,
NC_009648.1,99694,+,17,59,tex_hcd_kf_10,,
NC_009648.1,99698,+,17,56,tex_lcd_kf_01,,
NC_009648.1,100115,-,10,10,tex_lcd_kf_01,n,
NC_009648.1,100697,+,13,22,tex_hcd_kf_09,n,
NC_009648.1,100697,+,22,30,tex_hcd_kf_10,,
NC_009648.1,101098,+,268,269,tex_lcd_kf_01,y,sRNA?
NC_009648.1,101098,+,312,312,tex_lcd_kf_02,,
NC_009648.1,101099,+,40,40,tex_hcd_kf_10,,
NC_009648.1,101099,+,268,269,tex_lcd_kf_01,,
NC_009648.1,101100,+,22,22,tex_hcd_kf_09,,
NC_009648.1,101328,+,642,646,tex_hcd_kf_09,y,
NC_009648.1,101328,+,800,801,tex_hcd_kf_10,,
NC_009648.1,101328,+,916,920,tex_lcd_kf_01,,
NC_009648.1,101328,+,977,983,tex_lcd_kf_02,,
NC_009648.1,102072,+,37,42,tex_hcd_kf_10,n,
NC_009648.1,102072,+,20,26,tex_lcd_kf_02,,
NC_009648.1,103471,+,18,21,tex_hcd_kf_09,n,
NC_009648.1,103471,+,18,21,tex_hcd_kf_10,,
NC_009648.1,103541,+,14,23,tex_lcd_kf_02,n,
NC_009648.1,104365,+,21,29,tex_hcd_kf_09,y,
NC_009648.1,104365,+,38,44,tex_hcd_kf_10,,
NC_009648.1,104365,+,22,31,tex_lcd_kf_01,,
NC_009648.1,104365,+,22,30,tex_lcd_kf_02,,
NC_009648.1,105174,+,15,30,tex_hcd_kf_10,n,
NC_009648.1,106185,+,15,30,tex_hcd_kf_09,n,
NC_009648.1,107240,+,16,25,tex_hcd_kf_10,m,
NC_009648.1,107240,+,14,29,tex_lcd_kf_01,,
NC_009648.1,109137,-,13,13,tex_hcd_kf_09,y,sRNA?
NC_009648.1,109137,-,30,30,tex_lcd_kf_01,,
NC_009648.1,109137,-,23,23,tex_lcd_kf_02,,
NC_009648.1,110363,+,45,57,tex_hcd_kf_09,y,internal 
NC_009648.1,110363,+,60,74,tex_hcd_kf_10,,
NC_009648.1,110363,+,60,69,tex_lcd_kf_01,,
NC_009648.1,110363,+,57,62,tex_lcd_kf_02,,
NC_009648.1,110533,-,15,15,tex_hcd_kf_09,y,as
NC_009648.1,110533,-,11,11,tex_hcd_kf_10,,
NC_009648.1,110533,-,17,17,tex_lcd_kf_01,,
NC_009648.1,110533,-,16,16,tex_lcd_kf_02,,
NC_009648.1,111078,+,11,13,tex_hcd_kf_10,n,
NC_009648.1,111139,+,17,41,tex_hcd_kf_10,y,
NC_009648.1,111139,+,143,151,tex_lcd_kf_01,,
NC_009648.1,111139,+,139,150,tex_lcd_kf_02,,
NC_009648.1,113948,+,36,37,tex_lcd_kf_01,y,
NC_009648.1,113948,+,39,43,tex_lcd_kf_02,,
NC_009648.1,114019,+,10,23,tex_hcd_kf_09,n,
NC_009648.1,114212,+,19,24,tex_hcd_kf_09,m,
NC_009648.1,114212,+,13,23,tex_hcd_kf_10,,
NC_009648.1,114212,+,27,42,tex_lcd_kf_02,,
NC_009648.1,114527,+,39,44,tex_hcd_kf_09,y,
NC_009648.1,114527,+,42,50,tex_hcd_kf_10,,
NC_009648.1,114527,+,22,33,tex_lcd_kf_01,,
NC_009648.1,114527,+,18,26,tex_lcd_kf_02,,
NC_009648.1,114638,+,13,15,tex_hcd_kf_09,m,
NC_009648.1,114638,+,18,25,tex_hcd_kf_10,,
NC_009648.1,115644,+,18,34,tex_hcd_kf_10,y,
NC_009648.1,115644,+,12,16,tex_lcd_kf_02,,
NC_009648.1,115976,+,16,26,tex_lcd_kf_01,n,
NC_009648.1,115976,+,15,20,tex_lcd_kf_02,,
NC_009648.1,116022,+,38,59,tex_hcd_kf_09,y,internal
NC_009648.1,116022,+,46,68,tex_hcd_kf_10,,
NC_009648.1,116022,+,24,52,tex_lcd_kf_01,,
NC_009648.1,116022,+,25,45,tex_lcd_kf_02,,
NC_009648.1,116030,+,13,72,tex_hcd_kf_09,n,
NC_009648.1,116030,+,10,62,tex_lcd_kf_01,,
NC_009648.1,116030,+,18,63,tex_lcd_kf_02,,
NC_009648.1,116058,+,11,73,tex_hcd_kf_10,n,
NC_009648.1,116058,+,11,63,tex_lcd_kf_02,,
